address,floor_area,agent_name,baths,beds,price
"40 Hamlet Square , Chieftain's Way, Balbriggan, Co. Dublin",136 m²,,3 Bath,4 Bed,"€275,000 "
"6 The Jetty, Kellys Bay, Skerries, Co. Dublin",60 m²,,1 Bath,2 Bed,"€250,000 "
"Apartment 2, Premier Square, Finglas, Dublin 11",94 m²,,2 Bath,3 Bed,Price on Application 
"Apartment 12, Glaunsharoon, Donnybrook, Dublin 4",161 m²,,3 Bath,3 Bed,"€1,700,000 "
"7 Hampton Park, Saint Helen's Wood, Booterstown, Co. Dublin",140 m²,,3 Bath,4 Bed,"€975,000 "
"Limebrook, Limebrook, Kilmashogue Lane, Rathfarnham, Dublin 16",145 m²,,2 Bath,4 Bed,"€595,000 "
"83 Ballintyre Square, Ballinteer, Dublin 16",76 m²,,2 Bath,2 Bed,"€360,000 "
"Dunamase, Dunamase, Old Frankfort, Dundrum Road, Dublin 14",175 m²,,4 Bath,4 Bed,"€975,000 "
"2 Bessborough Hall, Bessborough Parade, Rathmines, Dublin 6",65 m²,,1 Bath,2 Bed,"€575,000 "
"10 Castlelyon Avenue, Newcastle, Co. Dublin",92 m²,,3 Bath,3 Bed,"€315,000 "
"16 Arbutus Place, Lombard Street West, Dublin 8",90 m²,,2 Bath,3 Bed,"€735,000 "
"Lohengrin, 13 Charleville, Churchtown, Dublin 14",170 m²,,3 Bath,5 Bed,"€1,100,000 "
"Apartment 6, The Yew, Carysfort Hall, Blackrock, Co. Dublin",163 m²,,2 Bath,3 Bed,"€875,000 "
"30 Waterville Row, Blanchardstown, Dublin 15",113 m²,,3 Bath,3 Bed,"€345,000 "
"75 Castle Park, Tallaght, Dublin 24",69 m²,,1 Bath,3 Bed,"€280,000 "
"56 The Crescent, Carrickmines Manor, Carrickmines, Dublin 18",76 m²,,2 Bath,2 Bed,"€395,000 "
"Apartment 8, Lissane House, Blanchardstown, Dublin 15",76 m²,,2 Bath,2 Bed,"€235,000 "
"8 Castleview Park, Dublin Road, Malahide, Co. Dublin",126 m²,,2 Bath,4 Bed,"€975,000 "
"Fermain, Golf Road, Rush, Co. Dublin",,,4 Bath,4 Bed,"€695,000 "
"Apartment 6, The Spinnaker, The Crescent, Malahide, Co. Dublin",80 m²,,2 Bath,2 Bed,"€465,000 "
"46 Holywell Wood, Swords, Co. Dublin",59 m²,,2 Bath,2 Bed,"€250,000 "
"12 Westway Lawns, Blanchardstown, Dublin 15",82 m²,,1 Bath,3 Bed,"€280,000 "
