address,floor_area,agent_name,baths,beds,price
"21 The Court, Seatown Park, Swords, Co. Dublin",76 m²,,1 Bath,3 Bed,"€315,000 "
"46 Palmer Court, Palmer Road, Rush, Co. Dublin",,,3 Bath,2 Bed,"€320,000 "
"Apartment 212, Beechwood Court, Stillorgan, Co. Dublin",72 m²,,2 Bath,2 Bed,"€430,000 "
"76 Loughlinstown Wood, Glenageary, Co. Dublin",107 m²,,1 Bath,3 Bed,"€399,000 "
"124 Roselawn Road, Castleknock, Castleknock, Dublin 15",112 m²,,1 Bath,4 Bed,"€550,000 "
"6 Fernwood Close, Springfield, Tallaght, Dublin 24",80 m²,,1 Bath,3 Bed,"€245,000 "
"107 Galtrim Grange, Malahide, Co. Dublin",62 m²,,1 Bath,2 Bed,"€350,000 "
"12 Windmill Park, Crumlin, Crumlin, Dublin 12",71 m²,,1 Bath,3 Bed,"€295,000 "
"49 Brighton Wood, Foxrock, Dublin 18",115 m²,,3 Bath,3 Bed,"€750,000 "
"5 Millmount Grove, Dundrum Road, Dundrum, Dublin 14",59 m²,,1 Bath,2 Bed,"€375,000 "
"318 Mourne Road, Drimnagh, Drimnagh, Dublin 12",96 m²,,1 Bath,2 Bed,"€365,000 "
"21 Bellevue, Islandbridge, Dublin 8",68 m²,,1 Bath,2 Bed,"€325,000 "
"14 The Way, The Paddocks, Clonsilla, Dublin 15",126 m²,,3 Bath,3 Bed,"€499,950 "
"42 Walkinstown Parade, Walkinstown, Dublin 12",,,1 Bath,2 Bed,"€324,950 "
"47 Kelly Park, Lusk, Co. Dublin",,,1 Bath,3 Bed,"€310,000 "
"Apartment 49, Block 4, Annaly Grove, Ongar, Dublin 15",,,2 Bath,2 Bed,"€235,000 "
"23 Esker Meadow Green, Lucan, Co. Dublin",138 m²,,3 Bath,4 Bed,"€410,000 "
"16 Dunsink Avenue, Finglas West, Finglas, Dublin 11",71 m²,,1 Bath,3 Bed,"€219,000 "
"Apartment 14, The Plaza, Ballymun, Dublin 9",62 m²,,2 Bath,2 Bed,"€290,000 "
"Apartment 67, Hannah Square, Lucan, Co. Dublin",67 m²,,2 Bath,2 Bed,"€265,000 "
"Apartment 37, Malin Hall, Waterville Terrace, Waterville, Blanchardstown, Dublin 15",89 m²,,2 Bath,2 Bed,"€260,000 "
"Apartment 25, The Millhouse, The Steelworks, Dublin 1",45 m²,,1 Bath,1 Bed,"€235,000 "
"2 Esker Meadow Court, Lucan, Co. Dublin",103 m²,,3 Bath,3 Bed,"€390,000 "
"22 Burrow Court, Portmarnock, Co. Dublin",153 m²,,3 Bath,4 Bed,"€825,000 "
"60 Palmerstown Drive, Palmerstown, Palmerstown, Dublin 20",101 m²,,2 Bath,3 Bed,"€410,000 "
"88 Muskerry Road, Ballyfermot, Ballyfermot, Dublin 10",92 m²,,1 Bath,3 Bed,"€265,000 "
"83 Corn Mill, Distillery Road, Drumcondra, Dublin 3",72 m²,,2 Bath,2 Bed,"€375,000 "
"64 Oakwood Avenue, Glasnevin, Dublin 11",102 m²,,3 Bath,3 Bed,"€475,000 "
"52 Merville Road Stillorgan, Stillorgan, Co. Dublin",145 m²,,2 Bath,4 Bed,"€895,000 "
"Apt 9, 1 Beau Park Street, Clongriffin, Dublin 13",96 m²,,2 Bath,2 Bed,"€325,000 "
"1 Kingsland Park Church, Portobello, Dublin 8",94 m²,,3 Bath,2 Bed,"€825,000 "
"58 Crumlin Road, Crumlin, Dublin 12",130 m²,,2 Bath,3 Bed,"€515,000 "
"55 Waterville Terrace, Waterville, Blanchardstown, Dublin 15",103 m²,,3 Bath,3 Bed,"€320,000 "
"31 Forest Hills, Swords, Co. Dublin",74 m²,,2 Bath,2 Bed,"€295,000 "
"11 The Kybe, Skerries, Co. Dublin",83 m²,,1 Bath,3 Bed,"€475,000 "
"5 Swords Manor View, Swords, Co. Dublin",113 m²,,3 Bath,4 Bed,"€440,000 "
"Apartment 18, Cedar Place, Swords, Co. Dublin",67 m²,,1 Bath,2 Bed,"€275,000 "
"14 Millrace Gardens, Saggart, Co. Dublin",94 m²,,2 Bath,3 Bed,"€259,950 "
"Tresillian House, Brighton Road, Foxrock, Dublin 18",414 m²,,4 Bath,5 Bed,"€3,500,000 "
"Apartment 84, Bracken Hill, Sandyford, Dublin 18",49 m²,,1 Bath,1 Bed,"€275,000 "
"8 Mount Carmel Road, Goatstown, Goatstown, Dublin 14",124 m²,,2 Bath,3 Bed,"€680,000 "
"107 Tudor Lawns, Foxrock, Foxrock, Dublin 18",100 m²,,3 Bath,3 Bed,"€595,000 "
"36 Fforster Lawn, Ballydowd Manor, Lucan, Co. Dublin",83 m²,,3 Bath,3 Bed,"€375,000 "
"104 Walsh Road, Drumcondra, Dublin 9",81 m²,,3 Bath,3 Bed,"€445,000 "
"30 De Courcey Square, Glasnevin, Glasnevin, Dublin 9",110 m²,,2 Bath,2 Bed,"€595,000 "
"6 The Laurels, Mount Prospect Ave, Clontarf, Dublin 3",126 m²,,1 Bath,3 Bed,"€595,000 "
"208 Bracken Hill, Sandyford, Dublin 18",93 m²,,2 Bath,3 Bed,"€350,000 "
"55 Annamoe Drive, Cabra, Dublin 7",80 m²,,3 Bath,3 Bed,"€375,000 "
"28 College Drive, Terenure, Dublin 6W",114 m²,,2 Bath,3 Bed,"€625,000 "
"164 Kennelsfort Road Upper, Palmerstown, Palmerstown, Dublin 20",127 m²,,3 Bath,4 Bed,"€399,950 "
"32 Turnberry Square, Baldoyle, Baldoyle, Dublin 13",108 m²,,3 Bath,3 Bed,"€395,000 "
"Apartment 1, Hanover Wharf, Grand Canal Dock, Dublin 2",74 m²,,2 Bath,2 Bed,"€475,000 "
"53 Fairhaven Walk, Castleknock, Castleknock, Dublin 15",122 m²,,3 Bath,3 Bed,"€750,000 "
"MAIN STREET PIZZA, Unit 2, Main Road, Tallaght, Dublin 24",164 m²,,2 Bath,2 Bed,"€750,000 "
"Apartment 28, Rath Geal, Clondalkin, Dublin 22",53 m²,,1 Bath,1 Bed,"€189,000 "
"6 Shrewsbury Gardens, The Collection, Ballsbridge, Dublin 4",397 m²,,4 Bath,5 Bed,"€4,950,000 "
"41 Orwell Place, Marinaella, Rathgar, Dublin 6",130 m²,,2 Bath,3 Bed,"€1,200,000 "
"Kilternan Country Market, Enniskerry Road, Kilternan, Dublin 18",1 ac,,,,Price on Application 
"Clonskeagh Castle, 80 Whitebeam Road, Clonskeagh, Dublin 14",620 m²,,5 Bath,7 Bed,"€2,950,000 "
"9 Garville Avenue, Rathgar, Dublin 6",175 m²,,1 Bath,5 Bed,"€1,250,000 "
"Milleen, Milleen, 34 Friarsland Road, Goatstown, Dublin 14",234 m²,,3 Bath,6 Bed,"€1,100,000 "
"173 Pearse Road, Sallynoggin, Co. Dublin",126 m²,,3 Bath,3 Bed,"€525,000 "
"16 Kenilworth Lane West, Rathmines, Dublin 6",130 m²,,2 Bath,4 Bed,"€895,000 "
"16 Kilfenora Road, Kimmage, Dublin 12",104 m²,,2 Bath,3 Bed,"€385,000 "
"14 Church Road, Swords, Co. Dublin",,,1 Bath,2 Bed,"€399,000 "
"5 Forge Green, Lusk, Co. Dublin",125 m²,,4 Bath,4 Bed,"€475,000 "
"17 Roseglen Avenue, Raheny, Dublin 5",77 m²,,1 Bath,3 Bed,"€340,000 "
"29 All Saints Park, Raheny, Dublin 5",97 m²,,2 Bath,3 Bed,"€495,000 "
"2 Woodstown Heath, Knocklyon, Dublin 16",102 m²,,3 Bath,3 Bed,"€525,000 "
"13 White Pines Drive, Stocking Avenue, Rathfarnham, Dublin 14",101 m²,,3 Bath,3 Bed,"€500,000 "
"62 Ash Grove, Kill Avenue, Dun Laoghaire, Co. Dublin",,,2 Bath,3 Bed,"€494,950 "
"2 Proby Garden, Blackrock, Co. Dublin",124 m²,,2 Bath,3 Bed,"€750,000 "
"Apartment 68, Wyckham Place, Dundrum, Dublin 14",44 m²,,1 Bath,1 Bed,"€330,000 "
"3 Carlisle Avenue, Donnybrook, Dublin 4",131 m²,,2 Bath,2 Bed,"€1,375,000 "
"31 Harty Place, Portobello, Dublin 8",33 m²,,1 Bath,1 Bed,"€250,000 "
"1 Edgewood, Richmond Road, Drumcondra, Dublin 3",85 m²,,1 Bath,3 Bed,"€395,000 "
"103 Beechdale Court, Ballycullen, Ballycullen, Dublin 16",63 m²,,2 Bath,2 Bed,"€295,000 "
"180 Cherrywood Park, Clondalkin, Clondalkin, Dublin 22",,,1 Bath,3 Bed,"€280,000 "
"48 Castleknock Glade, Castleknock, Dublin 15",105 m²,,3 Bath,4 Bed,"€500,000 "
"1 Edgewood, Richmond Road, Drumcondra, Dublin 3",85 m²,,1 Bath,3 Bed,"€395,000 "
"4 Alpine Heights, Clondalkin, Clondalkin, Dublin 22",77 m²,,1 Bath,3 Bed,"€269,000 "
"90 Thorn Chase, Rush, Co. Dublin",85 m²,,3 Bath,3 Bed,"€310,000 "
"19 Ashmount, Blakestown Road, Blanchardstown, Dublin 15",84 m²,,2 Bath,3 Bed,"€275,000 "
"15 The Green, Boden Park, Rathfarnham, Dublin 16",164 m²,,3 Bath,3 Bed,"€570,000 "
"2 Bradogue Court, Annamoe Road, Cabra, Dublin 7",69 m²,,2 Bath,2 Bed,"€340,000 "
"52 Lanesborough Mews, Finglas, Finglas, Dublin 11",110 m²,,3 Bath,3 Bed,"€275,000 "
"Apartment 71, Carton House, The Oaks, Swords, Co. Dublin",65 m²,,1 Bath,2 Bed,"€280,000 "
"81 Templeroan Avenue, Knocklyon, Dublin 16",98 m²,,3 Bath,3 Bed,"€545,000 "
"11 Ballyroan Road, Templeogue, Dublin 16",148 m²,,2 Bath,3 Bed,"€695,000 "
"71 Grace Park Terrace, Drumcondra, Dublin 9",132 m²,,2 Bath,4 Bed,"€775,000 "
"2 Park View, Blackrock, Co. Dublin",166 m²,,3 Bath,4 Bed,"€875,000 "
"26 Erne Street Upper South City Centre Dublin 2, Dublin 2",110 m²,,2 Bath,3 Bed,"€795,000 "
"5 St. Pauls Terrace Glenageary, Glenageary, Co. Dublin",101 m²,,2 Bath,3 Bed,"€595,000 "
"148 O Rourke Park Sallynoggin, Sallynoggin, Co. Dublin",88 m²,,1 Bath,3 Bed,"€485,000 "
"7 Warren Lodge, Sutton, Sutton, Dublin 13",230 m²,,3 Bath,4 Bed,"€995,000 "
"10 Park View, Portmarnock, Co. Dublin",95 m²,,1 Bath,3 Bed,"€560,000 "
"54 Annagh Court, Waterville, Blanchardstown, Dublin 15",101 m²,,3 Bath,3 Bed,"€320,000 "
"Fairfield Villa, Fairfield Villa, 20 Fairfield Park, Rathgar, D06YH51, Dublin 6",315 m²,,5 Bath,5 Bed,"€1,595,000 "
"28 Gartan Drive, Estuary Road, Swords, Co. Dublin",120 m²,,3 Bath,3 Bed,"€475,000 "
"10 Newcastle Manor Square, Newcastle, Co. Dublin",111 m²,,3 Bath,3 Bed,"€345,000 "
"20 Fforster Square, Lucan, Co. Dublin",75 m²,,2 Bath,2 Bed,"€269,000 "
"32 Collins Avenue, Donnycarney, Dublin 9",85 m²,,2 Bath,3 Bed,"€325,000 "
"13 O'Curry Avenue, Dublin 8",76 m²,,1 Bath,3 Bed,"€397,500 "
"19 Melville Grove, Finglas, Dublin 11",118 m²,,3 Bath,4 Bed,"€350,000 "
"14 Turlough Gardens, Off Philipsburgh Avenue, Fairview, Dublin 3",97 m²,,1 Bath,3 Bed,"€535,000 "
"9 Cherryfield Avenue, Walkinstown, D12H020, Dublin 12",110 m²,,1 Bath,3 Bed,"€475,000 "
"40 The Village, Porterstown Road, Clonsilla, Dublin 15",102 m²,,3 Bath,4 Bed,"€445,000 "
"44 Cromwellsfort Road, Walkinstown, Walkinstown, Dublin 12",,,3 Bath,3 Bed,"€549,950 "
"39 Saint Brigid's Road, Clondalkin, Clondalkin, Dublin 22",140 m²,,1 Bath,3 Bed,"€450,000 "
"38 Shantalla Drive, Beaumont, Beaumont, Dublin 9",152 m²,,2 Bath,4 Bed,"€470,000 "
"2 & 3 Sackville Gardens, Ballybough, Dublin 3",,,10 Bath,12 Bed,Price on Application 
"248 Larkhill Road, Whitehall, Whitehall, Dublin 9",76 m²,,1 Bath,2 Bed,"€370,000 "
"126 Cashel Road, Crumlin, Crumlin, Dublin 12",70 m²,,1 Bath,2 Bed,"€275,000 "
"Apartment 79, Block 3, Parkgate Place, Dublin 8",49 m²,,1 Bath,1 Bed,"€245,000 "
"35 Churchwell Avenue, Belmayne, Balgriffin, Dublin 13",127 m²,,3 Bath,3 Bed,"€345,000 "
"14 St Olaves, Kinsealy, Co. Dublin",88 m²,,2 Bath,2 Bed,"€360,000 "
"52 Bremore Pastures Park, Balbriggan, Co. Dublin",67 m²,,1 Bath,2 Bed,"€195,000 "
"36 Rathsallagh Park, Shankill, Dublin 18",80 m²,,2 Bath,3 Bed,"€415,000 "
"Apartment 36, The Heron, Booterstown, Co. Dublin",96 m²,,2 Bath,2 Bed,"€495,000 "
"77 Bremore Castle, Balbriggan, Co. Dublin",81 m²,,1 Bath,2 Bed,"€260,000 "
"""Abbey Lodge"", ""Abbey Lodge"", 1a Maple Lawn, Castleknock, Dublin 15",91 m²,,3 Bath,3 Bed,"€535,000 "
"40 Churchtown Road Upper, Churchtown, Dublin 14",142 m²,,2 Bath,4 Bed,"€825,000 "
"Apartment 24, Elmfield Court, Clondalkin, Dublin 22",65 m²,,2 Bath,2 Bed,"€210,000 "
"Apartment 10, Block A, Kilbarrack, Dublin 5",66 m²,,1 Bath,2 Bed,"€275,000 "
"54 Highthorn Park, Glenageary, Dun Laoghaire, Co. Dublin",130 m²,,2 Bath,3 Bed,"€725,000 "
"2 Roebuck Mews, The Palms, Mount Merrion, Co. Dublin",55 m²,,1 Bath,1 Bed,"€295,000 "
"27 Boroimhe Hawthorns, Swords, Co. Dublin",106 m²,,3 Bath,3 Bed,"€340,000 "
"4 Ballynakelly View, Newcastle, Co. Dublin",300 m²,,5 Bath,6 Bed,"€635,000 "
"2 Maryland, Beechfield Manor Shankill Dublin 18, Shankill, Dublin 18",64 m²,,1 Bath,2 Bed,"€285,000 "
"502 Orwell Park Way, Templeogue, Dublin 16",102 m²,,1 Bath,3 Bed,"€495,000 "
"43 Cedarhurst Road, Phoenix Park Racecourse, Castleknock, Dublin 15",73 m²,,2 Bath,2 Bed,"€380,000 "
"6 Wolverton Glen Castlepark Road Dalkey, Dalkey, Co. Dublin",84 m²,,2 Bath,3 Bed,"€625,000 "
"10 Jugback Terrace, Swords, Co. Dublin",,,2 Bath,3 Bed,"€290,000 "
"3 Finn Eber Fort, Finglas, Dublin 11",85 m²,,2 Bath,3 Bed,"€315,000 "
"15 Willow Glen, Carrickmines, Dublin 18",85 m²,,2 Bath,2 Bed,"€415,000 "
"3 Sackville Gardens, Ballybough, Dublin 3",,,6 Bath,8 Bed,"€795,000 "
"Apartment 119, Highgrove, Mount Talbot, Monastery Road, Clondalkin, Dublin 22",83 m²,,2 Bath,2 Bed,"€265,000 "
"9 Cypress Lawn, Templeogue, Dublin 6W",132 m²,,2 Bath,4 Bed,"€725,000 "
"12 Thomas Davis Street West, Inchicore, D08R3HE, Dublin 8",55 m²,,1 Bath,2 Bed,"€295,000 "
"5 St Albans Road, South Circular Road, Dublin 8",85 m²,,1 Bath,2 Bed,"€595,000 "
"20 Hampton Woods, Balbriggan, Co. Dublin",126 m²,,3 Bath,3 Bed,"€335,000 "
"7 Barons Hall Lodge, Balbriggan, Co. Dublin",42 m²,,1 Bath,1 Bed,"€150,000 "
"22 Connawood Lawn, Bray",,,1 Bath,3 Bed,"€475,000 "
"3 Allendale Walk, Clonsilla, Clonsilla, Dublin 15",106 m²,,3 Bath,3 Bed,"€385,000 "
"2 Sackville Gardens, Ballybough, Dublin 3",,,4 Bath,4 Bed,"€895,000 "
"59 Waterville Terrace, Blanchardstown, Blanchardstown, Dublin 15",72 m²,,2 Bath,2 Bed,"€255,000 "
"126 Saint Margaret's Road, Finglas, Dublin 11",70 m²,,2 Bath,2 Bed,"€240,000 "
"Apartment 20, Mountfield Park, Malahide, Co. Dublin",67 m²,,2 Bath,2 Bed,"€350,000 "
"129 Moyville, Rathfarnham, Rathfarnham, Dublin 14",122 m²,,2 Bath,3 Bed,"€550,000 "
"40 Mc, Govern's Corner, Cork Street, Dublin 8",,,2 Bath,2 Bed,"€370,000 "
"Apartment 90, Meridian Court, Ashtown, Dublin 15",87 m²,,2 Bath,3 Bed,"€320,000 "
"75 Raphoe Road, Crumlin, Crumlin, Dublin 12",104 m²,,2 Bath,3 Bed,"€475,000 "
"Apartment 176, Hampton Square, Navan Road (D7), Dublin 7",68 m²,,2 Bath,2 Bed,"€315,000 "
"6 Crosstrees, Main Street, Howth, Dublin 13",83 m²,,2 Bath,2 Bed,"€580,000 "
"1 Brooklawn Wood, Stradbrook Road, Blackrock, Co. Dublin",60 m²,,1 Bath,2 Bed,"€450,000 "
"30 St. Josephs Crescent (New Build), Clonsilla, Dublin 15",106 m²,,2 Bath,3 Bed,"€495,000 "
"Apartment 97, Block B, Newtown Court, Newtown Court Way, Coolock, Dublin 5",61 m²,,1 Bath,2 Bed,"€149,950 "
"26 Castilla Park, Clontarf, Clontarf, Dublin 3",155 m²,,2 Bath,4 Bed,"€795,000 "
"33 Mount Drummond Avenue, Harold`s Cross, D6, Harold's Cross, Dublin 6",71 m²,,2 Bath,2 Bed,"€545,000 "
"12 Foster Terrace, Ballybough, Dublin 3",70 m²,,1 Bath,2 Bed,"€350,000 "
"2 Bellgree Close, Tyrellstown, Tyrrelstown, Dublin 15",93 m²,,3 Bath,3 Bed,"€330,000 "
"15 Adelaide Terrace, Kilmainham, Dublin 8",109 m²,,1 Bath,2 Bed,"€495,000 "
"48A Cherrywood Loughlinstown, Loughlinstown, Co. Dublin",85 m²,,2 Bath,3 Bed,"€450,000 "
"6 Marlborough Park Glenageary, Glenageary, Co. Dublin",279 m²,,4 Bath,5 Bed,"€1,695,000 "
"49 Marlfield Green, Kiltipper, Tallaght, Dublin 24",90 m²,,3 Bath,3 Bed,"€285,000 "
"12 The Pidgeon House, South Lotts Road, Dublin 4",110 m²,,3 Bath,3 Bed,"€715,000 "
"63 Priory Wood, Donabate, Co. Dublin",128 m²,,3 Bath,4 Bed,"€429,950 "
"16 Brennanstown Court, Brennanstown, Cabinteely, Dublin 18",54 m²,,1 Bath,2 Bed,"€365,000 "
"13 Foxborough Court, Lucan, Co. Dublin",120 m²,,3 Bath,3 Bed,"€350,000 "
"17A Blessington Place, Phibsborough, Dublin 7",100 m²,,3 Bath,3 Bed,"€495,000 "
"Apartment 104, Millrace Road, Phoenix Park Racecourse, Castleknock, Dublin 15",81 m²,,2 Bath,2 Bed,"€360,000 "
"Apartment 76, Block D, Swords, Co. Dublin",62 m²,,1 Bath,2 Bed,"€260,000 "
"35 Woodbrook Court, Riverwood Road, Castleknock, Dublin 15",105 m²,,2 Bath,3 Bed,"€345,000 "
"57 Croydon Green, Marino, D03V3P9, Dublin 3",91 m²,,1 Bath,3 Bed,"€525,000 "
"68 Knocknashee, Goatstown, Dublin 14",164 m²,,2 Bath,4 Bed,"€995,000 "
"6 Barron Place, Drumcondra, Dublin 9",72 m²,,1 Bath,3 Bed,"€425,000 "
"18 Cedarview, Northwood Avenue, Northwood, Santry, Dublin 9",143 m²,,3 Bath,4 Bed,"€545,000 "
"Apartment 126, Seapark, Mount Prospect Avenue, Clontarf, Dublin 3",62 m²,,1 Bath,2 Bed,"€345,000 "
"9 Erris Square, Waterville, Blanchardstown, Dublin 15",76 m²,,2 Bath,2 Bed,"€265,000 "
"5 Saint Albans Road, South Circular Road, Dublin 8",85 m²,,1 Bath,2 Bed,"€595,000 "
"San Antonio, 46 Merton Drive, Ranelagh, Dublin 6",155 m²,,2 Bath,4 Bed,"€1,400,000 "
"323 Collins Avenue, Whitehall, Dublin 9",135 m²,,2 Bath,3 Bed,"€750,000 "
"5 Woodstown Hill, Knocklyon, Dublin 16",95 m²,,3 Bath,3 Bed,"€495,000 "
"44 Barnwell Grove, Hansfield, Ongar, Dublin 15",112 m²,,3 Bath,3 Bed,"€495,000 "
"Apartment 3, Charleston Heights, 20A Charleston Avenue, Ranelagh, Dublin 6",,,1 Bath,1 Bed,"AMV: €160,000 "
"Apartment 23, Merchamp, Seafield Road East, Clontarf, Dublin 3",140 m²,,2 Bath,3 Bed,"€485,000 "
"11 Swiftbrook Avenue, Tallaght, Tallaght, Dublin 24",,,2 Bath,3 Bed,"€249,000 "
"2 Madison Road, Kilmainham, Kilmainham, Dublin 8",101 m²,,1 Bath,3 Bed,"€595,000 "
"20 Seabury Parade, Malahide, Co. Dublin",101 m²,,3 Bath,3 Bed,"€545,000 "
"46 Wood Avens, Clondalkin, Clondalkin, Dublin 22",,,1 Bath,3 Bed,"€269,950 "
"79 Brandon Road, Drimnagh, Drimnagh, Dublin 12",,,1 Bath,3 Bed,"€324,950 "
"192b Iveragh Road, Whitehall, Dublin 9",83 m²,,1 Bath,2 Bed,"€495,000 "
"6 O'Carolan Road, South Circular Road, Dublin 8",75 m²,,1 Bath,3 Bed,"€475,000 "
"192a Iveragh Road, Whitehall, Dublin 9",98 m²,,1 Bath,3 Bed,"€535,000 "
"193 Elm Mount Avenue, Beaumont, Beaumont, Dublin 9",,,2 Bath,3 Bed,"€424,950 "
"24 Goldenbridge Avenue, Inchicore, Inchicore, Dublin 8",84 m²,,2 Bath,2 Bed,"€325,000 "
"100 The Cubes 1, Beacon South Quarter, Sandyford, Dublin 18",40 m²,,1 Bath,1 Bed,"€285,000 "
"1A Longwood Avenue, South Circular Road, Portobello, Dublin 8",88 m²,,2 Bath,3 Bed,"€750,000 "
"2 Orby Close, The Gallops, Leopardstown, Dublin 18",84 m²,,1 Bath,3 Bed,"€545,000 "
"10 Hamilton Way, Balbriggan, Co. Dublin",85 m²,,1 Bath,2 Bed,"€215,000 "
"43 Beneavin Road, Glasnevin, Glasnevin, Dublin 11",111 m²,,2 Bath,3 Bed,"€385,000 "
"Apartment 30, Castle Gate, Dublin 2",75 m²,,2 Bath,2 Bed,"€530,000 "
"5 Orchard Close, Beaverstown Road, Donabate, Co. Dublin",104 m²,,2 Bath,3 Bed,"€375,000 "
"Apartment 6, Block A, Aras Na Cluaine, Clondalkin, Dublin 22",,,2 Bath,2 Bed,"AMV: €180,000 "
"Apartment 54, Moynihan Court, Tallaght, Dublin 24",,,1 Bath,2 Bed,"AMV: €210,000 "
"Apartment 40, Palmerstown Square, Palmerstown, Dublin 20",,,2 Bath,3 Bed,"AMV: €240,000 "
"Apartment 143, The Maltings, Bonham Street, Dublin 8",,,1 Bath,1 Bed,"AMV: €160,000 "
"42 Percy Lane, Ballsbridge, Dublin 4",,,1 Bath,3 Bed,"AMV: €510,000 "
"15 Lilys Way, Ongar, Dublin 15",,,2 Bath,2 Bed,"AMV: €200,000 "
"53 Cypress Grove Road, Templeogue, Dublin 6W",120 m²,,1 Bath,4 Bed,"€625,000 "
"107 The Oaks, Ridgewood, Swords, Co. Dublin",,,2 Bath,3 Bed,"AMV: €270,000 "
"Apartment 49, Barrons Hall, Balbriggan, Co. Dublin",,,1 Bath,2 Bed,"AMV: €130,000 "
"83 Rockford Park, Blackrock, Co. Dublin",,,2 Bath,3 Bed,"AMV: €425,000 "
"28 Glenealy Road, Crumlin, Crumlin, Dublin 12",,,1 Bath,2 Bed,"€399,950 "
"10 Macroom Road, Coolock, Coolock, Dublin 5",89 m²,,1 Bath,4 Bed,"€340,000 "
"159 Carnlough Road, Cabra West, Cabra, Dublin 7",80 m²,,1 Bath,3 Bed,"€350,000 "
"Apartment 13, New Row Place, Dublin 8",38 m²,,1 Bath,1 Bed,"€250,000 "
"Apartment 56, Premier Square, Finglas, Dublin 11",70 m²,,1 Bath,2 Bed,"€275,000 "
"1 Eden Terrace, Drumcondra, Dublin 9",73 m²,,2 Bath,2 Bed,"€395,000 "
"Lot 2, Bella Vista House, Lot 2, Bella Vista House, Templeogue, Dublin 6W",2.5 ac,,,,"€1,250,000 "
"Luxury Sea View Killiney, Killiney, Co. Dublin",,,3 Bath,5 Bed,"€2,290,000 "
"106 Castle Park, Tallaght, Dublin 24",,,1 Bath,3 Bed,"€295,000 "
"Lot 1, Bella Vista House, Lot 1, Bella Vista House, Templeogue, Dublin 6W",205 m²,,2 Bath,6 Bed,"€1,250,000 "
"25 Edenmore Crescent, Raheny, Dublin 5",,,1 Bath,3 Bed,"€299,950 "
"14 Ingram Road, South Circular Road, Dublin 8",98 m²,,2 Bath,2 Bed,"€625,000 "
"103 Ardcollum Avenue, Artane, Artane, Dublin 5",90 m²,,2 Bath,3 Bed,"€350,000 "
"11 Roselawn Court, Castleknock, Castleknock, Dublin 15",129 m²,,2 Bath,4 Bed,"€600,000 "
"Sancta Maria, Sandyford Road, Dundrum, Dublin 14",0.33 ac,,,,"€900,000 "
"1 Butterfield Drive, Rathfarnham, Dublin 14",315 m²,,4 Bath,6 Bed,"€1,500,000 "
"Apartment 3, 6 Reuben Plaza, Rialto, Dublin 8",,,2 Bath,2 Bed,"€310,000 "
"7 Grove Avenue, Harold's Cross, Harold's Cross, Dublin 6",98 m²,,1 Bath,3 Bed,"€525,000 "
"52 Block C, Bow Bridge Place, Kilmainham, Dublin 8",56 m²,,1 Bath,2 Bed,"€325,000 "
"6 Old Bawn Road, Tallaght, Dublin 24",120 m²,,3 Bath,5 Bed,"€395,000 "
"73 Beechdale Court, Ballycullen, Dublin 16",61 m²,,2 Bath,2 Bed,"€280,000 "
"9 Ashcroft, Raheny, Raheny, Dublin 5",85 m²,,2 Bath,3 Bed,"€385,000 "
"17 Craigford Drive Killester Dublin 5, Killester, Dublin 5",87 m²,,1 Bath,3 Bed,"€375,000 "
"Apartment 41, Shrewsbury Square, Ballsbridge, Dublin 4",58 m²,,1 Bath,1 Bed,"€550,000 "
"29 Montpelier View, Tallaght, Dublin 24",113 m²,,2 Bath,5 Bed,"€195,000 "
"14 Marlborough Road, Donnybrook, Dublin 4",173 m²,,,4 Bed,"€850,000 "
"9 St Patricks Terrace, Monkstown, Co. Dublin",83 m²,,1 Bath,2 Bed,"€550,000 "
"17 Monck Place, Phibsboro, Phibsborough, Dublin 7",58 m²,,1 Bath,1 Bed,"€335,000 "
"13 Holywell Walk, Swords, Co. Dublin",90 m²,,3 Bath,2 Bed,"€299,000 "
"1 College Mews, Clonliffe Road, Drumcondra, Dublin 3",78 m²,,1 Bath,3 Bed,"€395,000 "
"20 Castle Elms, Greencastle Road, Coolock, Dublin 5",75 m²,,2 Bath,3 Bed,"€289,000 "
"9 Woodford Heights, Clondalkin, Clondalkin, Dublin 22",79 m²,,1 Bath,3 Bed,"€269,000 "
"Apartment 32, Block B, Cedar Square, Swords, Co. Dublin",99 m²,,2 Bath,3 Bed,"€330,000 "
"18A Lynwood, Dundrum, Dundrum, Dublin 14",148 m²,,2 Bath,4 Bed,"€795,000 "
"2 Ladycove, Palmer Road, Rush, Co. Dublin",126 m²,,3 Bath,3 Bed,"€360,000 "
"179 Jamestown Road, Finglas, Finglas, Dublin 11",,,1 Bath,3 Bed,"€349,950 "
"89 Royston, Kimmage Road West, Kimmage, Dublin 12",72 m²,,1 Bath,2 Bed,"€395,000 "
"4 Conquer Hill Avenue, Clontarf, Clontarf, Dublin 3",,,1 Bath,2 Bed,"€475,000 "
"8 Killarney Avenue, Dublin 1",100 m²,,1 Bath,3 Bed,"€345,000 "
"3 Kilcarrig Avenue, Tallaght, Dublin 24",88 m²,,1 Bath,3 Bed,"€240,000 ONLINE OFFERS"
"10 Burnside Lane, Santry, Dublin 9",66 m²,,1 Bath,2 Bed,"€347,500 "
"34 River Valley Grove, Swords, Co. Dublin",122 m²,,3 Bath,3 Bed,"€430,000 "
